%Comentarios:
%Largo de la muestra: 13.65
%Ancho de la muestra: 4.3
%Espesor de la muestra: 0.45
%Dispositivos y canales utilizados: 
%	 Temperatura de la superior: USB TEMP AI
%		Canal: 1
%	 Temperatura de la muestra: USB TEMP AI
%		 Canal: 0
%	 Temperatura inferior: USB TEMP AI
%		 Canal: 2
%	 Extensometro: USB TEMP AI
%		 Canal: 3
%	 Celda de carga: USB TEMP AI
%		 Canal: 1
%
% Datos por segundo: 1
%
%Tiempo 	 Temperarura inferior 	 Temperatura de la muestra 	 Temperatura superior 	 Extensometro 	 Celda de carga 
%
0.666000127792	20.3725528717	19.7831001282	19.8053512573	-0.748099660873	18.0966055393
1.70200014114	20.3827438354	19.7849578857	19.8007144928	-0.748127794266	18.1031656265
2.73799991608	20.3836688995	19.8025894165	19.8294715881	-0.748097991943	18.1170427799
3.77399992943	20.3818359375	19.7793903351	19.7979354858	-0.748131799698	18.0933487415
4.80999994278	20.3679237366	19.7784671783	19.8248157501	-0.748114061356	18.1131267548
5.84599995613	20.3808917999	19.7951545715	19.8155479431	-0.748146343231	18.0957472324
6.88300013542	20.3743877411	19.7728862762	19.8136730194	-0.748107194901	18.1049859524
7.92000007629	20.3734817505	19.8034954071	19.8136940002	-0.748082637787	18.0687832832
8.95700001717	20.371629715	19.7933006287	19.8322353363	-0.74815788269	18.1248950958
9.99399995804	20.3651199341	19.7663974762	19.8220157623	-0.748155403137	18.1038320065
11.0380001068	20.3428821564	19.7840061188	19.7932815552	-0.748118448257	18.0956983566
12.0710000992	20.3447151184	19.7432003021	19.8062362671	-0.748161172867	18.1235826015
13.1040000916	20.3326454163	19.7385387421	19.7765522003	-0.748120546341	18.0943310261
14.1400001049	20.3372993469	19.7571029663	19.7774963379	-0.748160219193	18.1083726883
15.1800000668	20.3465671539	19.7487602234	19.8015995026	-0.748114919662	18.109369278
16.2160000801	20.3725337982	19.7552719116	19.7942085266	-0.748145675659	18.108689785
17.2520000935	20.3994235992	19.7868118286	19.8303794861	-0.748132753372	18.1086134911
18.2880001068	20.3892288208	19.7812461853	19.8424301147	-0.748116159439	18.0905604362
19.3240001202	20.411485672	19.7673606873	19.8396701813	-0.748143482208	18.0974161625
20.3600001335	20.4068527222	19.7960987091	19.831325531	-0.748070526123	18.1138753891
21.3960001469	20.430015564	19.8007335663	19.8359622955	-0.748161077499	18.0856752396
22.4319999218	20.4170703888	19.8313465118	19.8702850342	-0.74811668396	18.1198179722
23.4679999352	20.4402351379	19.7896347046	19.8563766479	-0.748153066635	18.0941939354
24.5050001144	20.4291400909	19.8378696442	19.8897781372	-0.7481320858	18.1079745293
25.5410001278	20.4588127136	19.8332500458	19.8972148895	-0.748132228851	18.108304739
26.5780000687	20.4578876495	19.8480815887	19.8842353821	-0.748110103607	18.1152153015
27.611000061	20.4662437439	19.8508872986	19.8907489777	-0.748147726059	18.0945646763
28.6449999809	20.4745845795	19.8592300415	19.909286499	-0.748126459122	18.1131339073
29.6790001392	20.4708805084	19.8685016632	19.9120883942	-0.748090600967	18.1199145317
30.7139999866	20.4940643311	19.8713035583	19.9018936157	-0.748180818558	18.0770337582
31.75	20.4996242523	19.8685207367	19.9399242401	-0.748084688187	18.1297588348
32.7860000134	20.5005760193	19.8982105255	19.9287986755	-0.748173284531	18.075838089
33.8220000267	20.5098400116	19.8935756683	19.9186058044	-0.748086071014	18.1225585938
34.8580000401	20.5144710541	19.9028453827	19.9519996643	-0.748152256012	18.0960416794
35.8949999809	20.527469635	19.9009933472	19.9232387543	-0.748119020462	18.1015658379
36.9309999943	20.5079860687	19.8935756683	19.9260215759	-0.748128080368	18.112295866
37.9670000076	20.5126190186	19.8750133514	19.9250679016	-0.748147058487	18.0886363983
39.003000021	20.496843338	19.87408638	19.9093112946	-0.748108720779	18.1208074093
40.0399999619	20.5144462585	19.890794754	19.9065513611	-0.748147296906	18.0839514732
41.0770001411	20.5144710541	19.9075050354	19.9631214142	-0.748101854324	18.1190276146
42.114000082	20.5209827423	19.932554245	19.9733371735	-0.748135662079	18.1022655964
43.1480000019	20.5636196136	19.9316234589	19.960357666	-0.748067378998	18.1419932842
44.1819999218	20.5450935364	19.9251365662	19.965921402	-0.748127555847	18.0656778812
45.2179999352	20.5311775208	19.9139957428	19.9427318573	-0.748022603989	18.1406879425
46.253000021	20.5293254852	19.9177036285	19.9547786713	-0.748140573502	18.0912816525
47.2890000343	20.5153999329	19.8991394043	19.9408512115	-0.748027515411	18.1018948555
48.3259999752	20.4940643311	19.8824291229	19.9185791016	-0.748127937317	18.1274092197
49.3629999161	20.4977474213	19.8620090485	19.8926048279	-0.748082876205	18.0824887753
50.3989999294	20.4699306488	19.8480815887	19.8777446747	-0.748078918457	18.1260967255
51.4349999428	20.4680767059	19.8490123749	19.883310318	-0.748119688034	18.0899965763
52.4720001221	20.4708576202	19.8592071533	19.8814525604	-0.748071336746	18.1049251556
53.5080001354	20.4588127136	19.8471565247	19.8935089111	-0.748118209839	18.1057488918
54.5440001488	20.4662017822	19.8258132935	19.8582572937	-0.748073530197	18.0966877937
55.5810000896	20.4216785431	19.8146400452	19.8294715881	-0.748093080521	18.1136906147
56.617000103	20.406835556	19.7784671783	19.8229618073	-0.748086595535	18.0966258049
57.6530001163	20.3938407898	19.7747383118	19.8062610626	-0.748072576523	18.1088745594
58.6890001297	20.4021835327	19.7812290192	19.8108921051	-0.748092079163	18.1095612049
59.7239999771	20.4086875916	19.7923717499	19.8211078644	-0.748087310791	18.0965232849
60.7590000629	20.4142494202	19.7877368927	19.8257427216	-0.748071622849	18.1074392796
61.8020000458	20.4374294281	19.7942466736	19.8248348236	-0.748101568222	18.1035923958
62.8370001316	20.430015564	19.8100032806	19.8443031311	-0.748071622849	18.1019496918
63.873000145	20.423532486	19.828540802	19.843378067	-0.748103475571	18.1054329872
64.9089999199	20.4188804626	19.7849578857	19.8164749146	-0.748090600967	18.1011259556
65.9449999332	20.4105396271	19.784029007	19.8164749146	-0.748073816299	18.0965578556
66.9820001125	20.4040546417	19.7914447784	19.8034763336	-0.748102378845	18.114233017
68.0180001259	20.4133033752	19.788646698	19.8238925934	-0.748076438904	18.0986940861
69.0559999943	20.4188804626	19.8053512573	19.8294334412	-0.74808921814	18.0989682674
70.1180000305	20.3984775543	19.7821540833	19.8090362549	-0.748107767105	18.1152701378
71.1549999714	20.3966217041	19.8034763336	19.8090362549	-0.748064756393	18.0935621262
72.1920001507	20.4012565613	19.8247966766	19.8099651337	-0.748133993149	18.1278896332
73.2290000916	20.4012565613	19.8563346863	19.8183288574	-0.748041152954	18.0833947659
74.2669999599	20.406835556	19.8303794861	19.8090553284	-0.748117113113	18.1204223633
75.3020000458	20.4207324982	19.8276176453	19.8480110168	-0.748072719574	18.0937814713
76.3380000591	20.4411354065	19.8155651093	19.8489398956	-0.748103380203	18.1085860729
77.3740000725	20.4179725647	19.828540802	19.8452281952	-0.748087835312	18.1103992462
78.4140000343	20.4226036072	19.8498668671	19.831325531	-0.748082637787	18.0904984474
79.4500000477	20.4151935577	19.8387413025	19.8470859528	-0.748102283478	18.1233632565
80.4869999886	20.4272403717	19.852645874	19.8368854523	-0.748073005676	18.0978345871
81.5239999294	20.4189224243	19.892534256	19.850818634	-0.748134660721	18.1192135811
82.5610001087	20.4643478394	19.8647499084	19.8916301727	-0.748074102402	18.0955266953
83.5980000496	20.4606647491	19.9027748108	19.8888702393	-0.748091268539	18.1045198441
84.6370000839	20.4866333008	19.8944549561	19.9055786133	-0.748105573654	18.1079816818
85.6740000248	20.5033321381	19.8898429871	19.9306297302	-0.748090982437	18.1019496918
86.7190001011	20.4922103882	19.8852081299	19.9269218445	-0.748105573654	18.1084489822
87.756000042	20.5098400116	19.8972835541	19.9232387543	-0.748102140427	18.1037771702
88.7929999828	20.5144710541	19.9028453827	19.9176807404	-0.748069429398	18.1013381481
89.8289999962	20.5200309753	19.9167499542	19.9241676331	-0.748101043701	18.105494976
90.8619999886	20.5172767639	19.9399490356	19.95570755	-0.748086595535	18.1021630764
91.8980000019	20.5320987701	19.9149188995	19.9353122711	-0.748089504242	18.1093215942
92.9349999428	20.5543556213	19.9297714233	19.9585056305	-0.748072052002	18.085256815
93.9720001221	20.5534286499	19.9371852875	19.960357666	-0.748103475571	18.1145632267
95.0090000629	20.527469635	19.9241905212	19.9603385925	-0.748057889938	18.0970656872
96.0469999313	20.5293254852	19.9195594788	19.9408740997	-0.748096513748	18.1056594849
