/*Tiempo de exposicion:	0.24	0.3	0.42	0.6	0.9	1.2	1.5	1.8	2.1	2.4	3	4.2	6	9	12	15	18
/*Numero de Scans	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000	000
/*Archivo:	barridoP_0050.OMAIII	barridoP_0051.OMAIII	barridoP_0052.OMAIII	barridoP_0053.OMAIII	barridoP_0054.OMAIII	barridoP_0055.OMAIII	barridoP_0056.OMAIII	barridoP_0057.OMAIII	barridoP_0058.OMAIII	barridoP_0059.OMAIII	barridoP_0060.OMAIII	barridoP_0061.OMAIII	barridoP_0062.OMAIII	barridoP_0063.OMAIII	barridoP_0064.OMAIII	barridoP_0065.OMAIII	barridoP_0066.OMAIII
1	61.0	60.0	60.0	61.0	61.0	60.0	61.0	60.0	60.0	61.0	60.0	60.0	60.0	61.0	60.0	60.0	60.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	163.0	353.0	542.0	727.0	914.0
3	6.0	10.0	18.0	29.0	47.0	65.0	83.0	101.0	120.0	138.0	174.0	246.0	355.0	534.0	712.0	888.0	1063.0
4	98.0	104.0	110.0	122.0	141.0	158.0	178.0	197.0	216.0	236.0	272.0	347.0	460.0	643.0	828.0	1009.0	1189.0
5	90.0	96.0	103.0	114.0	133.0	151.0	172.0	190.0	209.0	227.0	264.0	341.0	452.0	639.0	823.0	1006.0	1187.0
6	76.0	79.0	87.0	97.0	115.0	135.0	152.0	170.0	189.0	207.0	243.0	315.0	424.0	603.0	781.0	956.0	1131.0
7	76.0	80.0	89.0	99.0	119.0	138.0	157.0	174.0	193.0	212.0	249.0	324.0	435.0	620.0	803.0	984.0	1164.0
8	88.0	92.0	100.0	111.0	130.0	147.0	166.0	185.0	203.0	221.0	260.0	332.0	441.0	622.0	802.0	981.0	1156.0
9	91.0	94.0	101.0	113.0	132.0	152.0	170.0	190.0	211.0	229.0	267.0	344.0	459.0	648.0	835.0	1021.0	1204.0
10	71.0	75.0	82.0	93.0	112.0	131.0	149.0	168.0	187.0	204.0	242.0	317.0	427.0	609.0	792.0	970.0	1148.0
11	77.0	81.0	89.0	100.0	117.0	137.0	155.0	174.0	192.0	211.0	248.0	322.0	432.0	616.0	797.0	976.0	1155.0
12	103.0	107.0	113.0	125.0	143.0	163.0	182.0	201.0	218.0	236.0	275.0	348.0	459.0	641.0	824.0	1003.0	1182.0
13	84.0	89.0	96.0	106.0	124.0	142.0	160.0	179.0	196.0	214.0	252.0	323.0	430.0	609.0	785.0	960.0	1132.0
14	69.0	72.0	80.0	90.0	109.0	127.0	145.0	165.0	183.0	201.0	238.0	310.0	420.0	599.0	779.0	957.0	1133.0
15	78.0	82.0	90.0	101.0	120.0	140.0	159.0	178.0	197.0	217.0	255.0	332.0	445.0	634.0	821.0	1007.0	1188.0
16	94.0	98.0	106.0	118.0	138.0	156.0	176.0	195.0	213.0	233.0	272.0	347.0	461.0	650.0	837.0	1024.0	1205.0
17	90.0	95.0	103.0	115.0	136.0	156.0	177.0	198.0	217.0	238.0	278.0	361.0	482.0	684.0	884.0	1080.0	1276.0
18	72.0	75.0	83.0	94.0	112.0	130.0	149.0	166.0	186.0	204.0	240.0	311.0	420.0	600.0	778.0	954.0	1128.0
19	82.0	87.0	97.0	112.0	138.0	163.0	189.0	214.0	238.0	264.0	313.0	413.0	562.0	808.0	1052.0	1294.0	1532.0
20	90.0	94.0	101.0	111.0	130.0	149.0	167.0	185.0	203.0	221.0	258.0	329.0	436.0	615.0	792.0	966.0	1140.0
21	88.0	91.0	99.0	112.0	131.0	151.0	171.0	191.0	210.0	231.0	269.0	349.0	466.0	661.0	854.0	1045.0	1235.0
22	82.0	86.0	93.0	104.0	123.0	143.0	162.0	181.0	200.0	219.0	257.0	334.0	448.0	635.0	821.0	1005.0	1186.0
23	79.0	83.0	90.0	100.0	120.0	138.0	155.0	173.0	191.0	209.0	245.0	318.0	424.0	604.0	780.0	954.0	1128.0
24	93.0	97.0	104.0	116.0	134.0	152.0	172.0	190.0	208.0	227.0	264.0	338.0	450.0	631.0	813.0	994.0	1171.0
25	87.0	92.0	101.0	113.0	135.0	155.0	176.0	198.0	219.0	239.0	282.0	365.0	489.0	697.0	901.0	1106.0	1305.0
26	77.0	82.0	90.0	103.0	125.0	148.0	169.0	191.0	213.0	236.0	280.0	369.0	500.0	718.0	935.0	1148.0	1358.0
27	80.0	85.0	93.0	105.0	125.0	145.0	165.0	185.0	205.0	226.0	266.0	347.0	465.0	663.0	860.0	1055.0	1248.0
28	91.0	95.0	103.0	114.0	133.0	152.0	169.0	189.0	208.0	225.0	262.0	337.0	447.0	630.0	812.0	992.0	1168.0
29	90.0	94.0	103.0	115.0	139.0	160.0	183.0	205.0	227.0	249.0	294.0	382.0	515.0	734.0	950.0	1165.0	1380.0
30	76.0	81.0	89.0	101.0	121.0	141.0	162.0	182.0	202.0	222.0	263.0	342.0	462.0	661.0	857.0	1050.0	1244.0
31	77.0	80.0	88.0	99.0	118.0	138.0	155.0	176.0	193.0	213.0	251.0	325.0	437.0	622.0	806.0	989.0	1170.0
32	92.0	94.0	102.0	113.0	132.0	151.0	169.0	190.0	207.0	226.0	264.0	338.0	451.0	637.0	820.0	1002.0	1181.0
33	85.0	89.0	96.0	107.0	125.0	142.0	160.0	178.0	197.0	216.0	252.0	322.0	430.0	607.0	783.0	956.0	1131.0
34	74.0	77.0	85.0	96.0	115.0	135.0	153.0	173.0	190.0	209.0	247.0	322.0	433.0	619.0	803.0	985.0	1166.0
35	71.0	74.0	82.0	93.0	111.0	129.0	149.0	166.0	184.0	202.0	239.0	312.0	420.0	599.0	778.0	955.0	1130.0
36	95.0	99.0	106.0	118.0	137.0	154.0	174.0	192.0	211.0	230.0	267.0	342.0	453.0	638.0	820.0	1001.0	1180.0
