/*Tiempo de exposicion:	6	4.2	3	2.4	2.4
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0062.OMAIII	barridoP_0061.OMAIII	barridoP_0060.OMAIII	barridoP_0059.OMAIII	barridoP_0059.OMAIII
1	60.0	60.0	60.0	61.0	61.0
2	163.0	49.0	0.0	0.0	0.0
3	355.0	246.0	174.0	138.0	138.0
4	460.0	347.0	272.0	236.0	236.0
5	452.0	341.0	264.0	227.0	227.0
6	424.0	315.0	243.0	207.0	207.0
7	435.0	324.0	249.0	212.0	212.0
8	441.0	332.0	260.0	221.0	221.0
9	459.0	344.0	267.0	229.0	229.0
10	427.0	317.0	242.0	204.0	204.0
11	432.0	322.0	248.0	211.0	211.0
12	459.0	348.0	275.0	236.0	236.0
13	430.0	323.0	252.0	214.0	214.0
14	420.0	310.0	238.0	201.0	201.0
15	445.0	332.0	255.0	217.0	217.0
16	461.0	347.0	272.0	233.0	233.0
17	482.0	361.0	278.0	238.0	238.0
18	420.0	311.0	240.0	204.0	204.0
19	562.0	413.0	313.0	264.0	264.0
20	436.0	329.0	258.0	221.0	221.0
21	466.0	349.0	269.0	231.0	231.0
22	448.0	334.0	257.0	219.0	219.0
23	424.0	318.0	245.0	209.0	209.0
24	450.0	338.0	264.0	227.0	227.0
25	489.0	365.0	282.0	239.0	239.0
26	500.0	369.0	280.0	236.0	236.0
27	465.0	347.0	266.0	226.0	226.0
28	447.0	337.0	262.0	225.0	225.0
29	515.0	382.0	294.0	249.0	249.0
30	462.0	342.0	263.0	222.0	222.0
31	437.0	325.0	251.0	213.0	213.0
32	451.0	338.0	264.0	226.0	226.0
33	430.0	322.0	252.0	216.0	216.0
34	433.0	322.0	247.0	209.0	209.0
35	420.0	312.0	239.0	202.0	202.0
36	453.0	342.0	267.0	230.0	230.0
37	459.0	345.0	270.0	232.0	232.0
38	421.0	314.0	240.0	205.0	205.0
39	438.0	328.0	255.0	217.0	217.0
40	439.0	332.0	259.0	223.0	223.0
41	449.0	336.0	261.0	222.0	222.0
42	426.0	317.0	243.0	207.0	207.0
43	422.0	315.0	243.0	208.0	208.0
44	432.0	326.0	255.0	220.0	220.0
45	449.0	336.0	260.0	223.0	223.0
46	432.0	321.0	248.0	210.0	210.0
47	443.0	331.0	255.0	216.0	216.0
48	431.0	326.0	256.0	219.0	219.0
49	454.0	340.0	264.0	225.0	225.0
50	446.0	330.0	254.0	215.0	215.0
51	532.0	393.0	299.0	252.0	252.0
52	451.0	339.0	264.0	226.0	226.0
53	438.0	330.0	257.0	221.0	221.0
54	449.0	334.0	255.0	216.0	216.0
55	443.0	331.0	254.0	218.0	218.0
56	443.0	333.0	261.0	224.0	224.0
57	430.0	322.0	251.0	214.0	214.0
58	425.0	315.0	242.0	206.0	206.0
59	438.0	327.0	251.0	214.0	214.0
60	482.0	362.0	282.0	241.0	241.0
61	445.0	335.0	260.0	223.0	223.0
62	424.0	316.0	243.0	206.0	206.0
63	439.0	327.0	253.0	215.0	215.0
64	457.0	346.0	270.0	232.0	232.0
65	438.0	329.0	256.0	219.0	219.0
66	424.0	314.0	243.0	206.0	206.0
67	426.0	318.0	246.0	209.0	209.0
68	441.0	332.0	259.0	224.0	224.0
69	437.0	328.0	253.0	218.0	218.0
70	428.0	318.0	245.0	208.0	208.0
71	435.0	324.0	250.0	213.0	213.0
72	443.0	334.0	260.0	224.0	224.0
73	440.0	329.0	256.0	219.0	219.0
74	437.0	326.0	250.0	212.0	212.0
75	436.0	327.0	253.0	214.0	214.0
76	443.0	332.0	259.0	222.0	222.0
77	430.0	324.0	252.0	216.0	216.0
78	446.0	334.0	259.0	221.0	221.0
79	437.0	325.0	252.0	214.0	214.0
80	443.0	333.0	261.0	224.0	224.0
81	435.0	327.0	254.0	218.0	218.0
82	436.0	324.0	247.0	209.0	209.0
83	446.0	333.0	257.0	219.0	219.0
84	455.0	344.0	269.0	231.0	231.0
85	437.0	327.0	254.0	217.0	217.0
86	429.0	321.0	248.0	211.0	211.0
87	457.0	340.0	263.0	224.0	224.0
88	439.0	329.0	256.0	221.0	221.0
89	449.0	336.0	260.0	223.0	223.0
90	432.0	324.0	250.0	214.0	214.0
91	425.0	317.0	245.0	208.0	208.0
92	451.0	339.0	262.0	225.0	225.0
93	444.0	333.0	259.0	224.0	224.0
94	458.0	339.0	259.0	220.0	220.0
95	450.0	335.0	257.0	219.0	219.0
96	441.0	334.0	261.0	223.0	223.0
97	458.0	342.0	266.0	227.0	227.0
98	426.0	317.0	244.0	207.0	207.0
99	447.0	333.0	257.0	217.0	217.0
100	483.0	361.0	281.0	240.0	240.0
101	437.0	328.0	255.0	218.0	218.0
102	475.0	347.0	266.0	226.0	226.0
103	431.0	322.0	250.0	213.0	213.0
104	446.0	339.0	266.0	228.0	228.0
105	439.0	330.0	257.0	221.0	221.0
106	421.0	315.0	243.0	208.0	208.0
107	447.0	333.0	257.0	219.0	219.0
108	432.0	326.0	256.0	219.0	219.0
109	434.0	325.0	253.0	218.0	218.0
110	409.0	305.0	236.0	202.0	202.0
111	432.0	321.0	248.0	211.0	211.0
112	447.0	338.0	261.0	225.0	225.0
113	449.0	339.0	263.0	225.0	225.0
114	433.0	322.0	246.0	209.0	209.0
115	425.0	316.0	244.0	207.0	207.0
116	439.0	332.0	260.0	224.0	224.0
117	450.0	339.0	264.0	227.0	227.0
118	421.0	314.0	241.0	206.0	206.0
119	427.0	326.0	249.0	212.0	212.0
120	529.0	396.0	306.0	260.0	260.0
121	447.0	339.0	269.0	232.0	232.0
122	421.0	314.0	243.0	207.0	207.0
123	446.0	335.0	260.0	222.0	222.0
124	433.0	326.0	254.0	217.0	217.0
125	450.0	341.0	268.0	232.0	232.0
126	422.0	316.0	244.0	209.0	209.0
127	455.0	339.0	261.0	222.0	222.0
128	438.0	330.0	259.0	222.0	222.0
129	435.0	329.0	256.0	220.0	220.0
130	420.0	313.0	241.0	205.0	205.0
131	449.0	335.0	258.0	220.0	220.0
132	440.0	333.0	261.0	223.0	223.0
133	440.0	333.0	262.0	226.0	226.0
134	422.0	315.0	244.0	208.0	208.0
135	428.0	321.0	250.0	214.0	214.0
136	438.0	330.0	257.0	221.0	221.0
137	489.0	365.0	282.0	240.0	240.0
138	450.0	334.0	256.0	217.0	217.0
139	427.0	320.0	248.0	211.0	211.0
140	452.0	342.0	268.0	230.0	230.0
141	476.0	356.0	274.0	235.0	235.0
142	589.0	432.0	326.0	273.0	273.0
143	416.0	310.0	240.0	205.0	205.0
144	465.0	349.0	271.0	231.0	231.0
145	446.0	334.0	261.0	223.0	223.0
146	419.0	313.0	242.0	206.0	206.0
147	430.0	324.0	249.0	213.0	213.0
148	430.0	326.0	256.0	221.0	221.0
149	434.0	326.0	253.0	215.0	215.0
150	446.0	332.0	256.0	217.0	217.0
151	422.0	316.0	244.0	209.0	209.0
152	446.0	335.0	262.0	224.0	224.0
153	439.0	330.0	257.0	220.0	220.0
154	495.0	368.0	280.0	237.0	237.0
155	419.0	316.0	244.0	210.0	210.0
156	427.0	322.0	252.0	216.0	216.0
157	443.0	331.0	257.0	220.0	220.0
158	412.0	308.0	237.0	202.0	202.0
159	437.0	327.0	250.0	214.0	214.0
160	428.0	324.0	253.0	219.0	219.0
161	429.0	322.0	251.0	216.0	216.0
162	419.0	313.0	242.0	206.0	206.0
163	428.0	320.0	247.0	210.0	210.0
164	448.0	337.0	263.0	227.0	227.0
165	462.0	346.0	268.0	229.0	229.0
166	446.0	332.0	255.0	217.0	217.0
167	431.0	321.0	248.0	211.0	211.0
168	447.0	338.0	264.0	225.0	225.0
169	429.0	323.0	253.0	218.0	218.0
170	454.0	339.0	259.0	221.0	221.0
171	437.0	327.0	252.0	217.0	217.0
172	437.0	330.0	257.0	221.0	221.0
173	436.0	326.0	253.0	217.0	217.0
174	427.0	319.0	246.0	210.0	210.0
175	429.0	321.0	247.0	211.0	211.0
176	461.0	346.0	269.0	230.0	230.0
177	429.0	324.0	253.0	217.0	217.0
178	409.0	305.0	236.0	200.0	200.0
179	443.0	330.0	255.0	217.0	217.0
180	435.0	328.0	257.0	221.0	221.0
181	429.0	323.0	253.0	216.0	216.0
182	486.0	362.0	277.0	234.0	234.0
183	430.0	321.0	249.0	212.0	212.0
184	462.0	348.0	270.0	231.0	231.0
185	430.0	321.0	250.0	215.0	215.0
186	429.0	320.0	246.0	210.0	210.0
187	430.0	322.0	248.0	211.0	211.0
188	430.0	325.0	254.0	219.0	219.0
189	437.0	329.0	256.0	220.0	220.0
190	419.0	312.0	241.0	206.0	206.0
191	424.0	316.0	245.0	210.0	210.0
192	502.0	375.0	290.0	247.0	247.0
193	422.0	319.0	247.0	213.0	213.0
194	439.0	327.0	251.0	214.0	214.0
195	466.0	346.0	266.0	226.0	226.0
196	441.0	333.0	261.0	223.0	223.0
197	426.0	321.0	251.0	215.0	215.0
198	444.0	330.0	253.0	216.0	216.0
199	510.0	377.0	289.0	244.0	244.0
200	445.0	335.0	263.0	225.0	225.0
201	454.0	340.0	263.0	225.0	225.0
202	453.0	337.0	258.0	218.0	218.0
203	434.0	324.0	250.0	213.0	213.0
204	461.0	348.0	271.0	233.0	233.0
205	480.0	359.0	278.0	238.0	238.0
206	448.0	334.0	255.0	218.0	218.0
207	436.0	324.0	251.0	213.0	213.0
208	451.0	338.0	263.0	226.0	226.0
209	437.0	328.0	255.0	218.0	218.0
210	431.0	323.0	250.0	212.0	212.0
211	449.0	335.0	258.0	220.0	220.0
212	445.0	336.0	261.0	225.0	225.0
213	465.0	347.0	268.0	228.0	228.0
214	416.0	311.0	240.0	206.0	206.0
215	438.0	327.0	252.0	215.0	215.0
216	432.0	326.0	254.0	219.0	219.0
217	451.0	339.0	264.0	226.0	226.0
218	431.0	321.0	246.0	210.0	210.0
219	598.0	439.0	334.0	281.0	281.0
220	442.0	334.0	261.0	225.0	225.0
221	464.0	348.0	269.0	230.0	230.0
222	429.0	320.0	247.0	211.0	211.0
223	429.0	320.0	246.0	209.0	209.0
224	428.0	323.0	253.0	216.0	216.0
225	447.0	336.0	261.0	224.0	224.0
226	447.0	333.0	256.0	219.0	219.0
227	483.0	359.0	275.0	234.0	234.0
228	432.0	326.0	255.0	219.0	219.0
229	448.0	336.0	261.0	223.0	223.0
230	432.0	323.0	249.0	212.0	212.0
231	431.0	322.0	249.0	211.0	211.0
232	449.0	338.0	263.0	226.0	226.0
233	450.0	338.0	264.0	225.0	225.0
234	420.0	313.0	242.0	207.0	207.0
235	437.0	327.0	253.0	216.0	216.0
236	432.0	325.0	255.0	219.0	219.0
237	437.0	328.0	256.0	219.0	219.0
238	458.0	340.0	263.0	224.0	224.0
239	448.0	334.0	257.0	219.0	219.0
240	437.0	331.0	258.0	223.0	223.0
241	435.0	327.0	254.0	217.0	217.0
242	429.0	320.0	247.0	209.0	209.0
243	439.0	327.0	252.0	215.0	215.0
244	460.0	345.0	269.0	231.0	231.0
245	439.0	330.0	258.0	221.0	221.0
246	442.0	327.0	252.0	214.0	214.0
247	426.0	318.0	246.0	209.0	209.0
248	447.0	336.0	263.0	226.0	226.0
249	438.0	328.0	257.0	221.0	221.0
250	436.0	324.0	249.0	212.0	212.0
