/*Tiempo de exposicion:	3	2.4	1.8	1.8	1.2
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0060.OMAIII	barridoP_0059.OMAIII	barridoP_0057.OMAIII	barridoP_0057.OMAIII	barridoP_0055.OMAIII
1	60.0	61.0	60.0	60.0	60.0
2	0.0	0.0	0.0	0.0	0.0
3	174.0	138.0	101.0	101.0	65.0
4	272.0	236.0	197.0	197.0	158.0
5	264.0	227.0	190.0	190.0	151.0
6	243.0	207.0	170.0	170.0	135.0
7	249.0	212.0	174.0	174.0	138.0
8	260.0	221.0	185.0	185.0	147.0
9	267.0	229.0	190.0	190.0	152.0
10	242.0	204.0	168.0	168.0	131.0
11	248.0	211.0	174.0	174.0	137.0
12	275.0	236.0	201.0	201.0	163.0
13	252.0	214.0	179.0	179.0	142.0
14	238.0	201.0	165.0	165.0	127.0
15	255.0	217.0	178.0	178.0	140.0
16	272.0	233.0	195.0	195.0	156.0
17	278.0	238.0	198.0	198.0	156.0
18	240.0	204.0	166.0	166.0	130.0
19	313.0	264.0	214.0	214.0	163.0
20	258.0	221.0	185.0	185.0	149.0
21	269.0	231.0	191.0	191.0	151.0
22	257.0	219.0	181.0	181.0	143.0
23	245.0	209.0	173.0	173.0	138.0
24	264.0	227.0	190.0	190.0	152.0
25	282.0	239.0	198.0	198.0	155.0
26	280.0	236.0	191.0	191.0	148.0
27	266.0	226.0	185.0	185.0	145.0
28	262.0	225.0	189.0	189.0	152.0
29	294.0	249.0	205.0	205.0	160.0
30	263.0	222.0	182.0	182.0	141.0
31	251.0	213.0	176.0	176.0	138.0
32	264.0	226.0	190.0	190.0	151.0
33	252.0	216.0	178.0	178.0	142.0
34	247.0	209.0	173.0	173.0	135.0
35	239.0	202.0	166.0	166.0	129.0
36	267.0	230.0	192.0	192.0	154.0
37	270.0	232.0	193.0	193.0	155.0
38	240.0	205.0	169.0	169.0	132.0
39	255.0	217.0	180.0	180.0	143.0
40	259.0	223.0	186.0	186.0	151.0
41	261.0	222.0	185.0	185.0	147.0
42	243.0	207.0	170.0	170.0	134.0
43	243.0	208.0	172.0	172.0	137.0
44	255.0	220.0	184.0	184.0	148.0
45	260.0	223.0	185.0	185.0	147.0
46	248.0	210.0	173.0	173.0	136.0
47	255.0	216.0	178.0	178.0	141.0
48	256.0	219.0	184.0	184.0	149.0
49	264.0	225.0	186.0	186.0	148.0
50	254.0	215.0	177.0	177.0	137.0
51	299.0	252.0	205.0	205.0	158.0
52	264.0	226.0	188.0	188.0	151.0
53	257.0	221.0	183.0	183.0	148.0
54	255.0	216.0	177.0	177.0	138.0
55	254.0	218.0	179.0	179.0	140.0
56	261.0	224.0	186.0	186.0	151.0
57	251.0	214.0	178.0	178.0	143.0
58	242.0	206.0	171.0	171.0	133.0
59	251.0	214.0	176.0	176.0	138.0
60	282.0	241.0	201.0	201.0	159.0
61	260.0	223.0	185.0	185.0	147.0
62	243.0	206.0	170.0	170.0	133.0
63	253.0	215.0	178.0	178.0	140.0
64	270.0	232.0	195.0	195.0	157.0
65	256.0	219.0	182.0	182.0	146.0
66	243.0	206.0	169.0	169.0	134.0
67	246.0	209.0	173.0	173.0	136.0
68	259.0	224.0	186.0	186.0	150.0
69	253.0	218.0	181.0	181.0	145.0
70	245.0	208.0	170.0	170.0	133.0
71	250.0	213.0	176.0	176.0	139.0
72	260.0	224.0	187.0	187.0	150.0
73	256.0	219.0	181.0	181.0	145.0
74	250.0	212.0	176.0	176.0	138.0
75	253.0	214.0	178.0	178.0	141.0
76	259.0	222.0	185.0	185.0	148.0
77	252.0	216.0	181.0	181.0	145.0
78	259.0	221.0	182.0	182.0	143.0
79	252.0	214.0	176.0	176.0	139.0
80	261.0	224.0	187.0	187.0	151.0
81	254.0	218.0	182.0	182.0	145.0
82	247.0	209.0	172.0	172.0	134.0
83	257.0	219.0	181.0	181.0	143.0
84	269.0	231.0	193.0	193.0	156.0
85	254.0	217.0	179.0	179.0	142.0
86	248.0	211.0	174.0	174.0	139.0
87	263.0	224.0	184.0	184.0	145.0
88	256.0	221.0	183.0	183.0	147.0
89	260.0	223.0	184.0	184.0	146.0
90	250.0	214.0	178.0	178.0	140.0
91	245.0	208.0	172.0	172.0	136.0
92	262.0	225.0	187.0	187.0	149.0
93	259.0	224.0	185.0	185.0	147.0
94	259.0	220.0	179.0	179.0	140.0
95	257.0	219.0	180.0	180.0	142.0
96	261.0	223.0	186.0	186.0	151.0
97	266.0	227.0	188.0	188.0	150.0
98	244.0	207.0	170.0	170.0	135.0
99	257.0	217.0	180.0	180.0	142.0
100	281.0	240.0	199.0	199.0	159.0
101	255.0	218.0	181.0	181.0	144.0
102	266.0	226.0	187.0	187.0	144.0
103	250.0	213.0	177.0	177.0	141.0
104	266.0	228.0	192.0	192.0	156.0
105	257.0	221.0	184.0	184.0	148.0
106	243.0	208.0	172.0	172.0	137.0
107	257.0	219.0	180.0	180.0	143.0
108	256.0	219.0	184.0	184.0	148.0
109	253.0	218.0	181.0	181.0	145.0
110	236.0	202.0	166.0	166.0	130.0
111	248.0	211.0	175.0	175.0	138.0
112	261.0	225.0	187.0	187.0	151.0
113	263.0	225.0	187.0	187.0	150.0
114	246.0	209.0	172.0	172.0	134.0
115	244.0	207.0	169.0	169.0	134.0
116	260.0	224.0	187.0	187.0	152.0
117	264.0	227.0	190.0	190.0	152.0
118	241.0	206.0	170.0	170.0	135.0
119	249.0	212.0	174.0	174.0	134.0
120	306.0	260.0	214.0	214.0	168.0
121	269.0	232.0	196.0	196.0	160.0
122	243.0	207.0	171.0	171.0	134.0
123	260.0	222.0	184.0	184.0	148.0
124	254.0	217.0	182.0	182.0	145.0
125	268.0	232.0	194.0	194.0	159.0
126	244.0	209.0	174.0	174.0	137.0
127	261.0	222.0	183.0	183.0	144.0
128	259.0	222.0	186.0	186.0	149.0
129	256.0	220.0	184.0	184.0	149.0
130	241.0	205.0	170.0	170.0	133.0
131	258.0	220.0	182.0	182.0	143.0
132	261.0	223.0	186.0	186.0	150.0
133	262.0	226.0	190.0	190.0	154.0
