/*Tiempo de exposicion:	0.9	0.9	0.6	0.6	0.6
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0054.OMAIII	barridoP_0054.OMAIII	barridoP_0053.OMAIII	barridoP_0053.OMAIII	barridoP_0053.OMAIII
1	61.0	61.0	61.0	61.0	61.0
2	0.0	0.0	0.0	0.0	0.0
3	47.0	47.0	29.0	29.0	29.0
4	141.0	141.0	122.0	122.0	122.0
5	133.0	133.0	114.0	114.0	114.0
6	115.0	115.0	97.0	97.0	97.0
7	119.0	119.0	99.0	99.0	99.0
8	130.0	130.0	111.0	111.0	111.0
9	132.0	132.0	113.0	113.0	113.0
10	112.0	112.0	93.0	93.0	93.0
11	117.0	117.0	100.0	100.0	100.0
12	143.0	143.0	125.0	125.0	125.0
13	124.0	124.0	106.0	106.0	106.0
14	109.0	109.0	90.0	90.0	90.0
15	120.0	120.0	101.0	101.0	101.0
16	138.0	138.0	118.0	118.0	118.0
17	136.0	136.0	115.0	115.0	115.0
18	112.0	112.0	94.0	94.0	94.0
19	138.0	138.0	112.0	112.0	112.0
20	130.0	130.0	111.0	111.0	111.0
21	131.0	131.0	112.0	112.0	112.0
22	123.0	123.0	104.0	104.0	104.0
23	120.0	120.0	100.0	100.0	100.0
24	134.0	134.0	116.0	116.0	116.0
25	135.0	135.0	113.0	113.0	113.0
26	125.0	125.0	103.0	103.0	103.0
27	125.0	125.0	105.0	105.0	105.0
28	133.0	133.0	114.0	114.0	114.0
29	139.0	139.0	115.0	115.0	115.0
30	121.0	121.0	101.0	101.0	101.0
31	118.0	118.0	99.0	99.0	99.0
32	132.0	132.0	113.0	113.0	113.0
33	125.0	125.0	107.0	107.0	107.0
34	115.0	115.0	96.0	96.0	96.0
35	111.0	111.0	93.0	93.0	93.0
36	137.0	137.0	118.0	118.0	118.0
37	136.0	136.0	116.0	116.0	116.0
38	114.0	114.0	95.0	95.0	95.0
39	125.0	125.0	107.0	107.0	107.0
40	132.0	132.0	114.0	114.0	114.0
41	129.0	129.0	110.0	110.0	110.0
42	115.0	115.0	97.0	97.0	97.0
43	118.0	118.0	99.0	99.0	99.0
44	129.0	129.0	112.0	112.0	112.0
45	129.0	129.0	109.0	109.0	109.0
46	118.0	118.0	99.0	99.0	99.0
47	121.0	121.0	101.0	101.0	101.0
48	131.0	131.0	113.0	113.0	113.0
49	129.0	129.0	111.0	111.0	111.0
50	117.0	117.0	98.0	98.0	98.0
51	134.0	134.0	110.0	110.0	110.0
52	133.0	133.0	113.0	113.0	113.0
53	129.0	129.0	111.0	111.0	111.0
