/*Tiempo de exposicion:	12	9	9	6	6
/*Numero de Scans	1	1	1	1	1
/*Scans Ignorados	0	0	0	0	0
/*Modo de Adquiquisicion	1 	1 	1 	1 	1 
/*Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	000	000	000	000	000
/*Archivo:	barridoP_0064.OMAIII	barridoP_0063.OMAIII	barridoP_0063.OMAIII	barridoP_0062.OMAIII	barridoP_0062.OMAIII
1	60.0	61.0	61.0	60.0	60.0
2	542.0	353.0	353.0	163.0	163.0
3	712.0	534.0	534.0	355.0	355.0
4	828.0	643.0	643.0	460.0	460.0
5	823.0	639.0	639.0	452.0	452.0
6	781.0	603.0	603.0	424.0	424.0
7	803.0	620.0	620.0	435.0	435.0
8	802.0	622.0	622.0	441.0	441.0
9	835.0	648.0	648.0	459.0	459.0
10	792.0	609.0	609.0	427.0	427.0
11	797.0	616.0	616.0	432.0	432.0
12	824.0	641.0	641.0	459.0	459.0
13	785.0	609.0	609.0	430.0	430.0
14	779.0	599.0	599.0	420.0	420.0
15	821.0	634.0	634.0	445.0	445.0
16	837.0	650.0	650.0	461.0	461.0
17	884.0	684.0	684.0	482.0	482.0
18	778.0	600.0	600.0	420.0	420.0
19	1052.0	808.0	808.0	562.0	562.0
20	792.0	615.0	615.0	436.0	436.0
21	854.0	661.0	661.0	466.0	466.0
22	821.0	635.0	635.0	448.0	448.0
23	780.0	604.0	604.0	424.0	424.0
24	813.0	631.0	631.0	450.0	450.0
25	901.0	697.0	697.0	489.0	489.0
26	935.0	718.0	718.0	500.0	500.0
27	860.0	663.0	663.0	465.0	465.0
28	812.0	630.0	630.0	447.0	447.0
29	950.0	734.0	734.0	515.0	515.0
30	857.0	661.0	661.0	462.0	462.0
31	806.0	622.0	622.0	437.0	437.0
32	820.0	637.0	637.0	451.0	451.0
33	783.0	607.0	607.0	430.0	430.0
34	803.0	619.0	619.0	433.0	433.0
35	778.0	599.0	599.0	420.0	420.0
36	820.0	638.0	638.0	453.0	453.0
37	830.0	646.0	646.0	459.0	459.0
38	778.0	600.0	600.0	421.0	421.0
39	803.0	620.0	620.0	438.0	438.0
40	796.0	619.0	619.0	439.0	439.0
41	821.0	636.0	636.0	449.0	449.0
42	785.0	605.0	605.0	426.0	426.0
43	773.0	598.0	598.0	422.0	422.0
44	783.0	609.0	609.0	432.0	432.0
45	820.0	635.0	635.0	449.0	449.0
46	794.0	614.0	614.0	432.0	432.0
47	816.0	630.0	630.0	443.0	443.0
48	780.0	607.0	607.0	431.0	431.0
49	829.0	642.0	642.0	454.0	454.0
50	827.0	636.0	636.0	446.0	446.0
51	990.0	761.0	761.0	532.0	532.0
52	822.0	637.0	637.0	451.0	451.0
53	794.0	617.0	617.0	438.0	438.0
54	829.0	640.0	640.0	449.0	449.0
55	813.0	631.0	631.0	443.0	443.0
56	804.0	625.0	625.0	443.0	443.0
57	781.0	605.0	605.0	430.0	430.0
58	783.0	604.0	604.0	425.0	425.0
59	806.0	624.0	624.0	438.0	438.0
60	883.0	683.0	683.0	482.0	482.0
61	813.0	630.0	630.0	445.0	445.0
62	783.0	604.0	604.0	424.0	424.0
63	804.0	622.0	622.0	439.0	439.0
64	828.0	643.0	643.0	457.0	457.0
65	797.0	618.0	618.0	438.0	438.0
66	781.0	603.0	603.0	424.0	424.0
67	783.0	606.0	606.0	426.0	426.0
68	799.0	621.0	621.0	441.0	441.0
69	798.0	618.0	618.0	437.0	437.0
70	789.0	608.0	608.0	428.0	428.0
71	799.0	616.0	616.0	435.0	435.0
72	804.0	623.0	623.0	443.0	443.0
73	803.0	622.0	622.0	440.0	440.0
74	804.0	622.0	622.0	437.0	437.0
75	801.0	620.0	620.0	436.0	436.0
76	805.0	624.0	624.0	443.0	443.0
77	783.0	607.0	607.0	430.0	430.0
78	817.0	632.0	632.0	446.0	446.0
79	804.0	621.0	621.0	437.0	437.0
80	802.0	623.0	623.0	443.0	443.0
81	794.0	615.0	615.0	435.0	435.0
82	806.0	621.0	621.0	436.0	436.0
83	820.0	634.0	634.0	446.0	446.0
84	824.0	642.0	642.0	455.0	455.0
85	800.0	619.0	619.0	437.0	437.0
86	785.0	608.0	608.0	429.0	429.0
87	841.0	650.0	650.0	457.0	457.0
88	799.0	619.0	619.0	439.0	439.0
89	818.0	633.0	633.0	449.0	449.0
90	791.0	612.0	612.0	432.0	432.0
91	780.0	604.0	604.0	425.0	425.0
92	821.0	635.0	635.0	451.0	451.0
93	807.0	626.0	626.0	444.0	444.0
94	849.0	654.0	654.0	458.0	458.0
95	829.0	640.0	640.0	450.0	450.0
96	803.0	624.0	624.0	441.0	441.0
97	835.0	647.0	647.0	458.0	458.0
98	785.0	606.0	606.0	426.0	426.0
99	822.0	635.0	635.0	447.0	447.0
100	882.0	683.0	683.0	483.0	483.0
101	799.0	618.0	618.0	437.0	437.0
102	869.0	678.0	678.0	475.0	475.0
103	789.0	610.0	610.0	431.0	431.0
104	804.0	626.0	626.0	446.0	446.0
105	797.0	618.0	618.0	439.0	439.0
106	771.0	597.0	597.0	421.0	421.0
107	822.0	635.0	635.0	447.0	447.0
108	782.0	607.0	607.0	432.0	432.0
109	790.0	613.0	613.0	434.0	434.0
110	754.0	582.0	582.0	409.0	409.0
111	791.0	612.0	612.0	432.0	432.0
112	811.0	630.0	630.0	447.0	447.0
113	818.0	635.0	635.0	449.0	449.0
114	800.0	618.0	618.0	433.0	433.0
115	782.0	605.0	605.0	425.0	425.0
116	795.0	617.0	617.0	439.0	439.0
117	816.0	634.0	634.0	450.0	450.0
118	773.0	597.0	597.0	421.0	421.0
119	787.0	608.0	608.0	427.0	427.0
120	975.0	754.0	754.0	529.0	529.0
121	798.0	624.0	624.0	447.0	447.0
122	775.0	598.0	598.0	421.0	421.0
123	813.0	629.0	629.0	446.0	446.0
124	786.0	609.0	609.0	433.0	433.0
125	809.0	630.0	630.0	450.0	450.0
126	773.0	597.0	597.0	422.0	422.0
127	837.0	646.0	646.0	455.0	455.0
128	793.0	617.0	617.0	438.0	438.0
129	786.0	612.0	612.0	435.0	435.0
130	773.0	598.0	598.0	420.0	420.0
131	826.0	638.0	638.0	449.0	449.0
132	798.0	620.0	620.0	440.0	440.0
133	792.0	616.0	616.0	440.0	440.0
134	775.0	600.0	600.0	422.0	422.0
135	776.0	601.0	601.0	428.0	428.0
136	793.0	616.0	616.0	438.0	438.0
137	895.0	692.0	692.0	489.0	489.0
138	833.0	641.0	641.0	450.0	450.0
139	783.0	607.0	607.0	427.0	427.0
140	819.0	636.0	636.0	452.0	452.0
141	874.0	676.0	676.0	476.0	476.0
142	1102.0	848.0	848.0	589.0	589.0
143	766.0	591.0	591.0	416.0	416.0
144	848.0	657.0	657.0	465.0	465.0
145	810.0	627.0	627.0	446.0	446.0
146	770.0	596.0	596.0	419.0	419.0
147	789.0	612.0	612.0	430.0	430.0
148	775.0	604.0	604.0	430.0	430.0
149	791.0	614.0	614.0	434.0	434.0
150	821.0	633.0	633.0	446.0	446.0
151	772.0	596.0	596.0	422.0	422.0
152	810.0	628.0	628.0	446.0	446.0
153	800.0	620.0	620.0	439.0	439.0
154	919.0	708.0	708.0	495.0	495.0
155	765.0	593.0	593.0	419.0	419.0
156	772.0	600.0	600.0	427.0	427.0
157	809.0	626.0	626.0	443.0	443.0
158	758.0	586.0	586.0	412.0	412.0
159	803.0	620.0	620.0	437.0	437.0
160	773.0	601.0	601.0	428.0	428.0
161	781.0	605.0	605.0	429.0	429.0
162	771.0	596.0	596.0	419.0	419.0
163	785.0	608.0	608.0	428.0	428.0
164	812.0	630.0	630.0	448.0	448.0
165	845.0	655.0	655.0	462.0	462.0
166	823.0	637.0	637.0	446.0	446.0
167	789.0	610.0	610.0	431.0	431.0
168	811.0	630.0	630.0	447.0	447.0
169	777.0	603.0	603.0	429.0	429.0
170	835.0	645.0	645.0	454.0	454.0
171	802.0	620.0	620.0	437.0	437.0
172	793.0	616.0	616.0	437.0	437.0
173	792.0	614.0	614.0	436.0	436.0
174	784.0	605.0	605.0	427.0	427.0
175	791.0	610.0	610.0	429.0	429.0
176	838.0	651.0	651.0	461.0	461.0
177	778.0	605.0	605.0	429.0	429.0
178	750.0	580.0	580.0	409.0	409.0
179	814.0	629.0	629.0	443.0	443.0
180	788.0	611.0	611.0	435.0	435.0
181	776.0	603.0	603.0	429.0	429.0
182	901.0	695.0	695.0	486.0	486.0
183	788.0	609.0	609.0	430.0	430.0
184	842.0	653.0	653.0	462.0	462.0
185	783.0	607.0	607.0	430.0	430.0
186	792.0	612.0	612.0	429.0	429.0
187	788.0	610.0	610.0	430.0	430.0
188	778.0	606.0	606.0	430.0	430.0
189	793.0	615.0	615.0	437.0	437.0
190	770.0	596.0	596.0	419.0	419.0
191	778.0	601.0	601.0	424.0	424.0
