/* Tiempo de exposicion:	6	4.2	3	2.4	2.4
/* Numero de Scans	1	1	1	1	1
/* Scans Ignorados	0	0	0	0	0
/* Modo de Adquiquisicion	1 	1 	1 	1 	1 
/* Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	650	650	650	650	650
/*Archivo:	barridoP_0002.OMAIII	barridoP_0012.OMAIII	barridoP_0022.OMAIII	barridoP_0032.OMAIII	barridoP_0042.OMAIII
1	60.0	60.0	60.0	60.0	60.0
2	295.0	189.0	107.0	52.0	105.0
3	477.0	406.0	296.0	277.0	302.0
4	608.0	504.0	391.0	380.0	409.0
5	614.0	507.0	412.0	372.0	412.0
6	584.0	525.0	399.0	378.0	376.0
7	622.0	572.0	404.0	426.0	361.0
8	675.0	601.0	439.0	457.0	373.0
9	720.0	592.0	494.0	466.0	390.0
10	694.0	551.0	493.0	419.0	406.0
11	669.0	551.0	501.0	427.0	412.0
12	693.0	552.0	500.0	430.0	395.0
13	643.0	520.0	479.0	395.0	354.0
14	620.0	518.0	440.0	382.0	316.0
15	647.0	544.0	446.0	409.0	333.0
16	670.0	566.0	465.0	438.0	370.0
17	700.0	539.0	481.0	410.0	399.0
18	614.0	501.0	453.0	363.0	346.0
19	746.0	604.0	494.0	430.0	407.0
20	630.0	552.0	427.0	401.0	364.0
21	673.0	604.0	446.0	449.0	355.0
22	699.0	551.0	448.0	422.0	357.0
23	674.0	505.0	476.0	371.0	375.0
24	665.0	482.0	482.0	364.0	424.0
25	658.0	492.0	460.0	354.0	471.0
26	628.0	510.0	426.0	357.0	477.0
27	595.0	512.0	387.0	365.0	506.0
28	593.0	502.0	388.0	382.0	540.0
29	681.0	536.0	437.0	386.0	589.0
30	613.0	505.0	423.0	364.0	487.0
31	596.0	468.0	394.0	348.0	470.0
32	604.0	480.0	412.0	346.0	549.0
33	566.0	488.0	393.0	350.0	619.0
34	585.0	519.0	371.0	371.0	635.0
35	599.0	549.0	378.0	395.0	541.0
36	670.0	599.0	435.0	450.0	589.0
37	710.0	632.0	469.0	462.0	667.0
38	692.0	621.0	470.0	469.0	738.0
39	741.0	659.0	497.0	508.0	677.0
40	745.0	633.0	533.0	528.0	538.0
41	764.0	578.0	556.0	459.0	538.0
42	672.0	594.0	551.0	442.0	574.0
43	661.0	654.0	482.0	497.0	659.0
44	722.0	728.0	492.0	578.0	646.0
45	806.0	687.0	551.0	587.0	555.0
46	799.0	638.0	606.0	504.0	581.0
47	744.0	695.0	618.0	530.0	660.0
48	745.0	765.0	548.0	597.0	753.0
49	829.0	809.0	574.0	674.0	865.0
50	889.0	661.0	626.0	585.0	782.0
51	912.0	669.0	741.0	513.0	791.0
52	724.0	643.0	634.0	491.0	843.0
53	708.0	687.0	518.0	526.0	766.0
54	758.0	745.0	518.0	589.0	630.0
55	815.0	659.0	557.0	559.0	627.0
56	802.0	655.0	628.0	496.0	633.0
57	726.0	703.0	594.0	523.0	538.0
58	763.0	776.0	520.0	576.0	563.0
59	848.0	885.0	567.0	656.0	651.0
60	980.0	952.0	656.0	764.0	786.0
61	1031.0	845.0	709.0	683.0	907.0
62	953.0	879.0	772.0	651.0	1043.0
63	954.0	910.0	724.0	722.0	1177.0
64	1049.0	786.0	726.0	669.0	1012.0
65	952.0	675.0	777.0	550.0	915.0
66	790.0	678.0	692.0	531.0	810.0
67	758.0	621.0	578.0	529.0	848.0
68	767.0	612.0	583.0	478.0	800.0
69	696.0	662.0	570.0	500.0	691.0
70	711.0	728.0	497.0	555.0	724.0
71	778.0	844.0	530.0	649.0	782.0
72	872.0	968.0	603.0	773.0	724.0
73	982.0	1111.0	686.0	893.0	611.0
74	1094.0	1078.0	793.0	983.0	600.0
75	1189.0	944.0	911.0	835.0	629.0
76	1055.0	878.0	1012.0	777.0	665.0
77	979.0	843.0	862.0	698.0	744.0
78	925.0	874.0	804.0	732.0	748.0
79	941.0	761.0	726.0	669.0	722.0
80	904.0	749.0	765.0	600.0	745.0
81	819.0	801.0	706.0	630.0	719.0
82	851.0	790.0	620.0	659.0	753.0
83	902.0	714.0	663.0	614.0	687.0
84	858.0	668.0	713.0	539.0	627.0
85	755.0	669.0	645.0	522.0	527.0
86	738.0	678.0	555.0	537.0	516.0
87	784.0	741.0	565.0	572.0	574.0
88	784.0	791.0	579.0	631.0	621.0
89	857.0	761.0	600.0	633.0	692.0
90	851.0	770.0	654.0	613.0	683.0
91	829.0	741.0	652.0	617.0	672.0
92	868.0	778.0	659.0	618.0	709.0
93	837.0	773.0	668.0	650.0	584.0
94	882.0	706.0	650.0	587.0	539.0
95	823.0	642.0	681.0	530.0	583.0
96	763.0	588.0	624.0	467.0	636.0
97	711.0	623.0	576.0	468.0	703.0
98	676.0	646.0	488.0	488.0	676.0
99	734.0	711.0	497.0	538.0	683.0
100	813.0	787.0	558.0	614.0	745.0
101	826.0	725.0	572.0	592.0	647.0
102	861.0	770.0	640.0	598.0	566.0
103	810.0	702.0	624.0	601.0	561.0
104	841.0	616.0	633.0	515.0	554.0
105	736.0	619.0	643.0	472.0	491.0
106	675.0	648.0	530.0	495.0	488.0
107	736.0	711.0	506.0	544.0	536.0
108	762.0	745.0	538.0	596.0	593.0
109	816.0	727.0	577.0	587.0	666.0
110	796.0	736.0	609.0	569.0	743.0
111	818.0	752.0	617.0	614.0	814.0
112	870.0	662.0	632.0	564.0	794.0
113	809.0	622.0	667.0	493.0	712.0
114	704.0	619.0	589.0	484.0	610.0
115	694.0	566.0	510.0	464.0	591.0
116	698.0	567.0	529.0	435.0	651.0
117	669.0	600.0	518.0	447.0	617.0
118	652.0	616.0	453.0	455.0	542.0
119	703.0	688.0	470.0	502.0	547.0
120	847.0	834.0	556.0	614.0	635.0
121	831.0	866.0	564.0	664.0	658.0
122	893.0	861.0	600.0	688.0	642.0
123	975.0	817.0	695.0	677.0	620.0
124	943.0	721.0	741.0	603.0	637.0
125	875.0	673.0	734.0	548.0	628.0
126	758.0	673.0	636.0	513.0	590.0
127	773.0	717.0	580.0	561.0	652.0
