/* Tiempo de exposicion:	2.4	1.8	1.5	1.5	1.2
/* Numero de Scans	1	1	1	1	1
/* Scans Ignorados	0	0	0	0	0
/* Modo de Adquiquisicion	1 	1 	1 	1 	1 
/* Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	850	850	850	850	850
/*Archivo:	barridoP_0006.OMAIII	barridoP_0016.OMAIII	barridoP_0026.OMAIII	barridoP_0036.OMAIII	barridoP_0046.OMAIII
1	60.0	60.0	60.0	60.0	60.0
2	0.0	0.0	0.0	0.0	0.0
3	145.0	109.0	91.0	95.0	73.0
4	244.0	206.0	187.0	190.0	167.0
5	237.0	199.0	182.0	181.0	160.0
6	215.0	179.0	162.0	161.0	144.0
7	220.0	182.0	165.0	165.0	149.0
8	229.0	193.0	174.0	177.0	157.0
9	237.0	201.0	180.0	182.0	161.0
10	215.0	178.0	160.0	158.0	140.0
11	218.0	181.0	165.0	162.0	147.0
12	242.0	206.0	188.0	188.0	174.0
13	220.0	184.0	166.0	168.0	152.0
14	207.0	169.0	150.0	152.0	134.0
15	223.0	184.0	166.0	166.0	146.0
16	238.0	200.0	182.0	182.0	163.0
17	243.0	203.0	182.0	185.0	163.0
18	208.0	173.0	155.0	156.0	137.0
19	269.0	220.0	195.0	196.0	169.0
20	227.0	191.0	173.0	174.0	155.0
21	236.0	196.0	177.0	179.0	157.0
22	225.0	187.0	169.0	170.0	150.0
23	216.0	180.0	162.0	163.0	145.0
24	234.0	198.0	179.0	179.0	159.0
25	245.0	205.0	184.0	186.0	163.0
26	243.0	199.0	178.0	180.0	155.0
27	234.0	195.0	173.0	175.0	153.0
28	233.0	198.0	179.0	180.0	160.0
29	258.0	213.0	192.0	194.0	169.0
30	230.0	190.0	171.0	172.0	149.0
31	221.0	185.0	166.0	167.0	147.0
32	235.0	198.0	179.0	181.0	162.0
33	224.0	187.0	169.0	171.0	153.0
34	219.0	180.0	162.0	164.0	144.0
35	212.0	176.0	158.0	157.0	139.0
36	238.0	201.0	183.0	182.0	166.0
37	238.0	200.0	182.0	183.0	165.0
38	211.0	176.0	159.0	160.0	141.0
39	224.0	189.0	170.0	172.0	152.0
40	230.0	195.0	176.0	179.0	158.0
41	232.0	194.0	175.0	178.0	155.0
42	217.0	180.0	162.0	162.0	143.0
43	217.0	181.0	165.0	164.0	146.0
44	227.0	192.0	175.0	176.0	158.0
45	232.0	195.0	176.0	179.0	157.0
46	220.0	184.0	166.0	168.0	146.0
47	226.0	189.0	171.0	170.0	150.0
48	229.0	194.0	177.0	178.0	160.0
49	234.0	197.0	178.0	182.0	161.0
50	226.0	188.0	168.0	173.0	147.0
51	264.0	219.0	196.0	200.0	168.0
52	240.0	204.0	185.0	191.0	163.0
53	236.0	203.0	183.0	192.0	162.0
54	236.0	200.0	179.0	190.0	156.0
55	241.0	206.0	185.0	193.0	161.0
56	251.0	215.0	199.0	188.0	174.0
57	233.0	194.0	184.0	171.0	171.0
58	217.0	179.0	164.0	160.0	164.0
59	221.0	184.0	165.0	167.0	156.0
60	248.0	208.0	188.0	191.0	169.0
61	231.0	194.0	175.0	179.0	156.0
62	214.0	180.0	161.0	165.0	142.0
63	227.0	190.0	171.0	174.0	151.0
64	243.0	206.0	189.0	192.0	168.0
65	230.0	196.0	178.0	182.0	158.0
66	219.0	184.0	166.0	169.0	146.0
67	224.0	189.0	172.0	168.0	152.0
68	236.0	198.0	183.0	179.0	167.0
69	226.0	189.0	172.0	172.0	162.0
70	215.0	177.0	161.0	160.0	146.0
71	218.0	182.0	164.0	165.0	147.0
72	230.0	194.0	175.0	176.0	158.0
73	224.0	188.0	170.0	172.0	153.0
74	219.0	182.0	163.0	165.0	145.0
75	222.0	184.0	167.0	167.0	148.0
76	229.0	192.0	174.0	176.0	156.0
77	222.0	186.0	169.0	170.0	151.0
78	226.0	189.0	170.0	172.0	151.0
79	220.0	184.0	165.0	167.0	146.0
80	231.0	194.0	177.0	177.0	158.0
81	225.0	190.0	172.0	173.0	153.0
82	216.0	179.0	160.0	162.0	142.0
83	226.0	187.0	169.0	171.0	150.0
84	237.0	201.0	182.0	183.0	164.0
85	222.0	187.0	169.0	170.0	150.0
86	217.0	182.0	164.0	166.0	146.0
87	231.0	193.0	172.0	174.0	153.0
88	227.0	191.0	173.0	174.0	156.0
89	230.0	192.0	173.0	174.0	154.0
90	221.0	185.0	167.0	168.0	149.0
91	215.0	179.0	162.0	163.0	144.0
92	232.0	194.0	176.0	179.0	158.0
93	230.0	195.0	175.0	178.0	156.0
94	229.0	189.0	169.0	174.0	148.0
95	228.0	192.0	172.0	175.0	152.0
96	234.0	200.0	181.0	185.0	161.0
97	240.0	203.0	183.0	188.0	163.0
98	222.0	187.0	169.0	171.0	148.0
99	231.0	193.0	177.0	172.0	156.0
100	249.0	208.0	191.0	188.0	175.0
101	226.0	189.0	171.0	172.0	160.0
102	233.0	193.0	173.0	174.0	155.0
103	221.0	186.0	167.0	169.0	149.0
104	235.0	200.0	183.0	184.0	164.0
105	229.0	192.0	173.0	176.0	157.0
106	216.0	181.0	163.0	165.0	146.0
107	227.0	190.0	170.0	171.0	151.0
108	228.0	192.0	176.0	176.0	158.0
109	226.0	191.0	174.0	175.0	154.0
110	208.0	176.0	158.0	160.0	140.0
111	220.0	185.0	166.0	167.0	147.0
112	234.0	198.0	179.0	180.0	161.0
113	234.0	198.0	179.0	181.0	161.0
114	220.0	183.0	164.0	166.0	145.0
115	218.0	183.0	164.0	166.0	145.0
116	236.0	200.0	182.0	186.0	162.0
117	241.0	204.0	185.0	189.0	164.0
118	222.0	185.0	167.0	171.0	147.0
119	226.0	191.0	172.0	171.0	149.0
120	278.0	229.0	208.0	205.0	184.0
121	245.0	210.0	192.0	195.0	176.0
122	219.0	184.0	166.0	172.0	150.0
123	235.0	200.0	180.0	190.0	161.0
124	234.0	203.0	182.0	206.0	160.0
125	257.0	231.0	203.0	256.0	175.0
126	260.0	242.0	206.0	286.0	159.0
127	308.0	295.0	252.0	434.0	179.0
128	386.0	419.0	323.0	661.0	218.0
129	548.0	605.0	495.0	879.0	260.0
130	706.0	776.0	673.0	1112.0	358.0
131	910.0	1004.0	886.0	1427.0	575.0
132	1138.0	1264.0	1132.0	1823.0	781.0
133	1427.0	1595.0	1440.0	2245.0	1009.0
134	1712.0	1944.0	1768.0	2396.0	1262.0
135	2066.0	2054.0	2178.0	1187.0	1632.0
136	1436.0	1005.0	1716.0	415.0	2018.0
137	569.0	390.0	648.0	247.0	2260.0
138	297.0	232.0	270.0	192.0	1198.0
139	240.0	201.0	197.0	184.0	400.0
140	252.0	216.0	200.0	200.0	226.0
141	254.0	217.0	196.0	198.0	183.0
142	293.0	241.0	216.0	218.0	192.0
143	224.0	188.0	172.0	173.0	157.0
144	249.0	210.0	193.0	194.0	178.0
145	239.0	203.0	186.0	189.0	171.0
146	221.0	188.0	170.0	173.0	155.0
147	231.0	195.0	177.0	180.0	160.0
148	238.0	203.0	185.0	188.0	169.0
149	231.0	197.0	180.0	180.0	164.0
150	231.0	193.0	176.0	176.0	160.0
151	222.0	187.0	170.0	171.0	154.0
152	237.0	200.0	183.0	184.0	166.0
153	232.0	195.0	178.0	180.0	161.0
154	248.0	206.0	184.0	187.0	165.0
155	221.0	186.0	169.0	172.0	153.0
156	228.0	194.0	178.0	179.0	160.0
157	231.0	195.0	178.0	179.0	159.0
158	213.0	179.0	162.0	163.0	145.0
159	226.0	189.0	171.0	173.0	153.0
160	229.0	195.0	177.0	179.0	161.0
161	226.0	191.0	173.0	174.0	156.0
162	216.0	181.0	164.0	165.0	147.0
163	221.0	186.0	166.0	169.0	150.0
164	236.0	200.0	183.0	184.0	165.0
165	239.0	201.0	181.0	181.0	162.0
166	226.0	189.0	170.0	172.0	152.0
167	221.0	185.0	168.0	169.0	150.0
168	234.0	199.0	181.0	182.0	163.0
169	226.0	191.0	174.0	176.0	158.0
170	228.0	191.0	172.0	174.0	153.0
171	224.0	188.0	169.0	170.0	151.0
172	229.0	194.0	176.0	177.0	158.0
173	224.0	189.0	172.0	174.0	154.0
174	218.0	183.0	165.0	167.0	146.0
175	220.0	183.0	166.0	166.0	148.0
176	238.0	201.0	183.0	185.0	164.0
177	226.0	191.0	175.0	175.0	156.0
178	209.0	176.0	158.0	160.0	141.0
179	226.0	189.0	170.0	172.0	151.0
180	229.0	194.0	175.0	179.0	159.0
181	226.0	190.0	173.0	175.0	157.0
182	243.0	201.0	181.0	181.0	161.0
183	221.0	185.0	167.0	168.0	148.0
184	240.0	202.0	183.0	185.0	164.0
185	222.0	187.0	170.0	172.0	152.0
186	218.0	181.0	162.0	165.0	145.0
187	219.0	184.0	166.0	168.0	149.0
188	227.0	192.0	175.0	176.0	158.0
189	228.0	193.0	175.0	176.0	157.0
190	214.0	178.0	161.0	162.0	143.0
191	216.0	181.0	163.0	166.0	147.0
192	255.0	213.0	192.0	194.0	171.0
193	221.0	186.0	169.0	170.0	152.0
194	221.0	185.0	165.0	166.0	148.0
195	234.0	195.0	174.0	176.0	155.0
196	231.0	195.0	177.0	179.0	160.0
197	222.0	187.0	170.0	172.0	154.0
198	223.0	185.0	166.0	168.0	147.0
199	252.0	208.0	186.0	188.0	165.0
200	233.0	197.0	180.0	180.0	161.0
201	234.0	196.0	178.0	178.0	159.0
202	226.0	188.0	168.0	169.0	150.0
203	221.0	184.0	166.0	168.0	149.0
204	240.0	202.0	184.0	186.0	165.0
205	245.0	205.0	184.0	188.0	164.0
206	226.0	188.0	169.0	170.0	149.0
207	222.0	185.0	166.0	169.0	149.0
208	234.0	197.0	178.0	180.0	160.0
209	226.0	192.0	173.0	174.0	155.0
210	221.0	185.0	166.0	168.0	148.0
211	229.0	192.0	172.0	173.0	154.0
212	234.0	197.0	179.0	182.0	162.0
213	237.0	198.0	179.0	181.0	159.0
214	214.0	180.0	163.0	165.0	145.0
215	225.0	188.0	168.0	172.0	151.0
216	227.0	193.0	175.0	177.0	157.0
217	236.0	201.0	182.0	184.0	162.0
218	222.0	186.0	167.0	170.0	148.0
219	294.0	240.0	213.0	215.0	187.0
220	237.0	201.0	182.0	186.0	163.0
221	243.0	206.0	186.0	189.0	165.0
222	225.0	188.0	172.0	169.0	151.0
223	223.0	185.0	168.0	166.0	149.0
224	226.0	190.0	174.0	173.0	159.0
225	232.0	195.0	177.0	177.0	163.0
226	226.0	187.0	168.0	170.0	152.0
227	239.0	200.0	179.0	180.0	159.0
228	227.0	192.0	175.0	174.0	157.0
229	230.0	193.0	176.0	175.0	157.0
230	219.0	182.0	165.0	166.0	147.0
231	219.0	183.0	165.0	167.0	148.0
232	233.0	196.0	177.0	180.0	159.0
233	234.0	196.0	177.0	178.0	159.0
234	214.0	180.0	162.0	163.0	145.0
235	223.0	188.0	169.0	172.0	151.0
236	227.0	193.0	174.0	177.0	157.0
237	227.0	191.0	173.0	175.0	156.0
238	232.0	193.0	174.0	176.0	154.0
239	229.0	191.0	171.0	173.0	152.0
240	231.0	196.0	178.0	180.0	160.0
241	227.0	192.0	175.0	175.0	156.0
242	218.0	183.0	165.0	166.0	146.0
243	223.0	187.0	168.0	171.0	149.0
244	240.0	204.0	184.0	188.0	165.0
245	232.0	197.0	177.0	181.0	159.0
246	225.0	189.0	169.0	172.0	149.0
247	223.0	187.0	169.0	169.0	149.0
248	237.0	200.0	184.0	181.0	164.0
249	229.0	193.0	177.0	175.0	162.0
250	218.0	182.0	163.0	164.0	148.0
251	225.0	189.0	171.0	172.0	154.0
252	233.0	196.0	179.0	180.0	161.0
253	226.0	192.0	172.0	175.0	155.0
254	233.0	194.0	173.0	175.0	153.0
255	225.0	187.0	169.0	170.0	149.0
256	245.0	206.0	186.0	189.0	166.0
257	221.0	187.0	170.0	171.0	151.0
258	221.0	185.0	167.0	168.0	148.0
259	225.0	189.0	171.0	171.0	152.0
260	228.0	193.0	175.0	176.0	158.0
261	232.0	195.0	176.0	179.0	159.0
262	234.0	194.0	174.0	176.0	155.0
263	223.0	187.0	168.0	170.0	150.0
264	242.0	204.0	184.0	186.0	166.0
265	231.0	195.0	176.0	179.0	158.0
266	217.0	182.0	163.0	165.0	146.0
267	237.0	197.0	178.0	179.0	158.0
268	243.0	204.0	185.0	188.0	166.0
269	239.0	201.0	183.0	185.0	163.0
270	226.0	189.0	170.0	171.0	150.0
271	225.0	187.0	170.0	170.0	151.0
272	241.0	203.0	185.0	185.0	167.0
273	227.0	192.0	173.0	174.0	156.0
274	264.0	217.0	194.0	195.0	170.0
275	228.0	190.0	172.0	174.0	153.0
276	235.0	199.0	180.0	182.0	161.0
277	224.0	189.0	171.0	173.0	154.0
278	238.0	198.0	177.0	179.0	157.0
279	224.0	186.0	169.0	169.0	150.0
280	242.0	204.0	186.0	187.0	165.0
281	238.0	200.0	182.0	183.0	162.0
282	229.0	190.0	171.0	171.0	152.0
283	227.0	189.0	171.0	172.0	151.0
284	236.0	198.0	182.0	182.0	162.0
285	236.0	200.0	181.0	181.0	161.0
286	218.0	183.0	166.0	167.0	147.0
287	234.0	194.0	176.0	177.0	156.0
288	235.0	199.0	181.0	182.0	162.0
289	231.0	196.0	176.0	178.0	158.0
290	227.0	190.0	171.0	173.0	152.0
291	237.0	198.0	179.0	181.0	160.0
292	234.0	199.0	181.0	181.0	163.0
293	229.0	192.0	174.0	176.0	156.0
294	217.0	182.0	164.0	167.0	148.0
295	227.0	189.0	171.0	173.0	153.0
296	237.0	200.0	182.0	186.0	164.0
297	231.0	195.0	177.0	179.0	159.0
298	224.0	187.0	170.0	171.0	150.0
299	225.0	189.0	171.0	173.0	151.0
300	239.0	202.0	184.0	185.0	166.0
301	234.0	199.0	181.0	182.0	165.0
302	215.0	180.0	163.0	165.0	148.0
303	225.0	189.0	170.0	173.0	153.0
304	239.0	202.0	183.0	185.0	165.0
305	235.0	198.0	181.0	180.0	161.0
306	226.0	189.0	171.0	172.0	151.0
307	234.0	196.0	177.0	179.0	159.0
308	246.0	208.0	188.0	190.0	170.0
309	230.0	194.0	176.0	177.0	158.0
310	220.0	183.0	165.0	167.0	147.0
311	224.0	187.0	169.0	172.0	151.0
312	247.0	209.0	190.0	193.0	169.0
313	245.0	205.0	186.0	188.0	167.0
314	223.0	187.0	169.0	171.0	151.0
315	231.0	194.0	174.0	176.0	157.0
316	246.0	207.0	188.0	190.0	169.0
317	245.0	205.0	186.0	188.0	166.0
318	229.0	191.0	173.0	174.0	154.0
319	234.0	195.0	176.0	177.0	157.0
320	236.0	199.0	182.0	182.0	164.0
321	234.0	197.0	182.0	182.0	163.0
322	234.0	195.0	175.0	178.0	156.0
323	227.0	191.0	172.0	175.0	154.0
324	250.0	211.0	192.0	193.0	170.0
325	236.0	200.0	180.0	183.0	162.0
326	233.0	195.0	175.0	177.0	155.0
327	236.0	198.0	179.0	181.0	159.0
328	246.0	209.0	190.0	193.0	171.0
329	278.0	233.0	207.0	212.0	184.0
330	235.0	197.0	177.0	180.0	158.0
331	233.0	196.0	176.0	180.0	156.0
332	259.0	220.0	198.0	203.0	177.0
333	247.0	211.0	190.0	197.0	168.0
334	247.0	209.0	186.0	193.0	163.0
335	241.0	204.0	184.0	183.0	160.0
336	251.0	210.0	196.0	190.0	175.0
337	245.0	206.0	190.0	188.0	176.0
338	238.0	198.0	179.0	180.0	166.0
339	218.0	183.0	167.0	168.0	151.0
340	237.0	201.0	184.0	187.0	168.0
341	247.0	209.0	189.0	193.0	172.0
342	223.0	189.0	170.0	174.0	153.0
343	232.0	196.0	177.0	181.0	157.0
344	246.0	209.0	191.0	195.0	170.0
345	249.0	212.0	193.0	197.0	171.0
346	241.0	204.0	183.0	192.0	161.0
347	240.0	204.0	183.0	188.0	160.0
348	256.0	218.0	200.0	196.0	176.0
349	248.0	207.0	192.0	189.0	174.0
350	234.0	196.0	180.0	181.0	167.0
351	238.0	200.0	182.0	185.0	165.0
352	247.0	212.0	194.0	198.0	176.0
353	256.0	218.0	199.0	203.0	178.0
354	240.0	203.0	183.0	188.0	161.0
355	236.0	200.0	181.0	183.0	161.0
356	254.0	216.0	199.0	198.0	180.0
357	245.0	208.0	191.0	193.0	175.0
358	233.0	197.0	179.0	183.0	162.0
359	234.0	198.0	180.0	185.0	161.0
