/* Tiempo de exposicion:	12	9	9	6	6
/* Numero de Scans	1	1	1	1	1
/* Scans Ignorados	0	0	0	0	0
/* Modo de Adquiquisicion	1 	1 	1 	1 	1 
/* Temperatura del detector	0 	0 	0 	0 	0 
/*Red	1	1	1	1	1
/*Posicion del Contador	950	950	950	950	950
/*Archivo:	barridoP_0008.OMAIII	barridoP_0018.OMAIII	barridoP_0028.OMAIII	barridoP_0038.OMAIII	barridoP_0048.OMAIII
1	60.0	60.0	60.0	60.0	60.0
2	581.0	1536.0	414.0	217.0	217.0
3	751.0	1656.0	592.0	411.0	413.0
4	870.0	1204.0	705.0	521.0	518.0
5	876.0	832.0	713.0	520.0	513.0
6	846.0	682.0	695.0	544.0	492.0
7	870.0	677.0	724.0	711.0	521.0
8	859.0	674.0	714.0	882.0	543.0
9	887.0	697.0	722.0	1049.0	559.0
10	850.0	659.0	686.0	1145.0	507.0
11	865.0	664.0	706.0	1295.0	503.0
12	896.0	692.0	738.0	1582.0	540.0
13	943.0	662.0	742.0	2018.0	523.0
14	1129.0	656.0	935.0	1941.0	513.0
15	1357.0	690.0	1230.0	1023.0	656.0
16	1550.0	707.0	1482.0	635.0	912.0
17	1747.0	746.0	1735.0	559.0	1154.0
18	1820.0	672.0	1874.0	478.0	1306.0
19	2409.0	891.0	2418.0	617.0	1651.0
20	2652.0	707.0	2818.0	494.0	1796.0
21	2359.0	760.0	3173.0	526.0	2269.0
22	1265.0	717.0	1737.0	508.0	2822.0
23	920.0	660.0	922.0	489.0	2141.0
24	885.0	695.0	764.0	520.0	963.0
25	953.0	761.0	779.0	569.0	676.0
26	987.0	793.0	797.0	574.0	594.0
27	916.0	756.0	744.0	540.0	545.0
28	868.0	742.0	712.0	531.0	524.0
29	1006.0	866.0	816.0	609.0	592.0
30	914.0	773.0	744.0	573.0	543.0
31	872.0	710.0	716.0	560.0	521.0
32	891.0	717.0	741.0	582.0	538.0
33	849.0	699.0	710.0	531.0	528.0
34	869.0	726.0	717.0	507.0	539.0
35	850.0	727.0	704.0	494.0	516.0
36	901.0	791.0	754.0	537.0	553.0
37	923.0	823.0	779.0	557.0	568.0
38	879.0	764.0	753.0	541.0	545.0
39	908.0	720.0	787.0	585.0	584.0
40	872.0	695.0	765.0	606.0	598.0
41	880.0	711.0	735.0	583.0	614.0
42	846.0	686.0	699.0	531.0	543.0
43	844.0	690.0	700.0	523.0	516.0
44	863.0	717.0	726.0	545.0	530.0
45	917.0	765.0	775.0	581.0	559.0
46	910.0	765.0	784.0	591.0	559.0
47	943.0	759.0	832.0	634.0	600.0
48	881.0	686.0	789.0	650.0	620.0
49	905.0	709.0	778.0	634.0	659.0
50	908.0	713.0	759.0	555.0	601.0
51	1080.0	844.0	894.0	621.0	659.0
52	925.0	725.0	790.0	540.0	576.0
53	918.0	714.0	796.0	534.0	579.0
54	974.0	754.0	856.0	557.0	614.0
55	977.0	766.0	880.0	572.0	643.0
56	935.0	781.0	872.0	598.0	682.0
57	862.0	743.0	761.0	608.0	697.0
58	850.0	697.0	717.0	566.0	630.0
59	876.0	708.0	730.0	523.0	561.0
60	956.0	779.0	795.0	561.0	591.0
61	897.0	745.0	756.0	533.0	554.0
62	883.0	738.0	749.0	518.0	544.0
63	921.0	751.0	795.0	540.0	576.0
64	959.0	752.0	847.0	571.0	620.0
65	897.0	731.0	814.0	574.0	631.0
66	844.0	730.0	721.0	583.0	640.0
67	842.0	751.0	697.0	609.0	582.0
68	868.0	754.0	722.0	591.0	540.0
69	869.0	699.0	729.0	537.0	532.0
70	867.0	671.0	726.0	523.0	535.0
71	884.0	675.0	747.0	543.0	548.0
72	907.0	686.0	777.0	576.0	566.0
73	925.0	699.0	804.0	594.0	581.0
74	945.0	720.0	835.0	583.0	608.0
75	909.0	738.0	824.0	561.0	640.0
76	882.0	764.0	760.0	572.0	667.0
77	857.0	777.0	721.0	577.0	599.0
78	905.0	842.0	757.0	616.0	564.0
79	908.0	886.0	770.0	583.0	553.0
80	921.0	940.0	800.0	532.0	579.0
81	903.0	902.0	801.0	504.0	599.0
82	900.0	840.0	776.0	501.0	622.0
83	919.0	852.0	783.0	518.0	617.0
84	937.0	839.0	807.0	543.0	604.0
85	927.0	783.0	811.0	549.0	596.0
86	890.0	775.0	804.0	563.0	610.0
87	906.0	843.0	776.0	620.0	663.0
88	850.0	827.0	706.0	637.0	602.0
89	869.0	802.0	713.0	697.0	547.0
90	845.0	738.0	694.0	745.0	513.0
91	847.0	728.0	699.0	796.0	504.0
92	906.0	779.0	758.0	773.0	538.0
93	912.0	798.0	778.0	698.0	550.0
94	977.0	851.0	834.0	712.0	596.0
95	979.0	820.0	859.0	677.0	616.0
96	990.0	784.0	891.0	631.0	644.0
97	1073.0	764.0	989.0	655.0	706.0
98	1062.0	707.0	1034.0	655.0	739.0
99	1055.0	737.0	1061.0	690.0	843.0
100	1067.0	790.0	1004.0	672.0	937.0
101	987.0	727.0	917.0	582.0	816.0
102	1034.0	772.0	969.0	613.0	779.0
103	929.0	726.0	847.0	599.0	741.0
104	950.0	762.0	852.0	645.0	715.0
105	969.0	780.0	875.0	663.0	667.0
106	951.0	756.0	887.0	625.0	665.0
107	961.0	770.0	892.0	630.0	731.0
108	891.0	750.0	794.0	563.0	721.0
109	901.0	777.0	781.0	541.0	654.0
110	881.0	744.0	768.0	522.0	582.0
111	945.0	767.0	833.0	551.0	608.0
112	984.0	810.0	891.0	567.0	653.0
113	970.0	852.0	890.0	565.0	695.0
114	936.0	849.0	848.0	564.0	703.0
115	878.0	823.0	783.0	581.0	667.0
116	877.0	832.0	751.0	622.0	652.0
117	904.0	865.0	766.0	627.0	598.0
118	864.0	817.0	736.0	570.0	547.0
119	897.0	814.0	758.0	595.0	566.0
120	1062.0	885.0	889.0	706.0	674.0
121	899.0	717.0	770.0	625.0	590.0
122	893.0	689.0	771.0	596.0	561.0
123	953.0	730.0	835.0	648.0	606.0
124	916.0	726.0	831.0	677.0	624.0
125	926.0	771.0	819.0	706.0	674.0
126	899.0	763.0	781.0	657.0	630.0
127	983.0	805.0	856.0	682.0	635.0
128	935.0	761.0	842.0	678.0	631.0
129	924.0	766.0	818.0	657.0	655.0
130	932.0	768.0	822.0	624.0	631.0
131	1019.0	812.0	911.0	587.0	660.0
132	998.0	748.0	928.0	541.0	688.0
133	983.0	700.0	911.0	539.0	738.0
134	965.0	670.0	876.0	532.0	721.0
135	983.0	676.0	893.0	553.0	705.0
136	991.0	700.0	905.0	590.0	705.0
137	1076.0	787.0	957.0	666.0	768.0
138	949.0	754.0	852.0	623.0	707.0
139	864.0	739.0	739.0	585.0	659.0
140	898.0	790.0	754.0	622.0	604.0
141	961.0	819.0	803.0	668.0	593.0
142	1200.0	966.0	986.0	782.0	693.0
143	889.0	736.0	762.0	557.0	545.0
144	994.0	828.0	862.0	555.0	617.0
145	946.0	824.0	846.0	523.0	630.0
146	893.0	770.0	787.0	501.0	633.0
147	923.0	738.0	806.0	525.0	633.0
148	924.0	706.0	823.0	538.0	617.0
149	939.0	719.0	852.0	559.0	640.0
150	923.0	749.0	834.0	594.0	677.0
151	840.0	723.0	724.0	593.0	651.0
152	869.0	732.0	724.0	601.0	605.0
153	861.0	698.0	715.0	583.0	543.0
154	988.0	778.0	812.0	652.0	588.0
155	846.0	663.0	714.0	605.0	520.0
156	867.0	670.0	739.0	636.0	540.0
157	923.0	701.0	791.0	630.0	573.0
158	889.0	667.0	779.0	550.0	564.0
159	923.0	716.0	819.0	550.0	616.0
160	885.0	716.0	772.0	543.0	629.0
161	906.0	742.0	784.0	558.0	608.0
162	919.0	753.0	800.0	559.0	586.0
163	954.0	784.0	850.0	542.0	613.0
164	958.0	816.0	873.0	532.0	666.0
165	951.0	837.0	846.0	538.0	706.0
166	907.0	804.0	776.0	521.0	663.0
167	877.0	755.0	746.0	503.0	589.0
168	907.0	773.0	776.0	525.0	580.0
169	880.0	726.0	767.0	513.0	569.0
170	918.0	748.0	800.0	553.0	609.0
171	871.0	725.0	732.0	559.0	607.0
172	851.0	734.0	709.0	582.0	568.0
173	851.0	748.0	704.0	601.0	534.0
174	843.0	729.0	696.0	616.0	514.0
175	851.0	704.0	702.0	630.0	516.0
176	908.0	727.0	748.0	657.0	546.0
177	860.0	677.0	716.0	609.0	519.0
178	850.0	661.0	715.0	565.0	508.0
179	935.0	726.0	791.0	599.0	560.0
180	923.0	722.0	802.0	567.0	575.0
181	926.0	729.0	816.0	539.0	596.0
182	1057.0	834.0	936.0	602.0	682.0
183	941.0	759.0	846.0	560.0	652.0
184	978.0	780.0	882.0	608.0	696.0
185	902.0	727.0	801.0	562.0	660.0
186	910.0	735.0	798.0	532.0	639.0
187	888.0	743.0	785.0	514.0	615.0
188	861.0	734.0	744.0	510.0	617.0
189	877.0	722.0	748.0	525.0	591.0
190	866.0	691.0	737.0	519.0	549.0
191	884.0	703.0	766.0	539.0	559.0
192	1017.0	825.0	881.0	631.0	654.0
193	843.0	725.0	732.0	570.0	596.0
194	869.0	762.0	731.0	593.0	594.0
195	917.0	811.0	757.0	599.0	581.0
196	865.0	776.0	717.0	564.0	539.0
197	852.0	778.0	715.0	554.0	519.0
198	909.0	807.0	761.0	582.0	545.0
199	1043.0	863.0	873.0	641.0	625.0
200	921.0	746.0	793.0	552.0	577.0
201	951.0	765.0	825.0	553.0	605.0
202	942.0	778.0	820.0	556.0	622.0
203	895.0	753.0	769.0	552.0	611.0
204	938.0	787.0	799.0	594.0	613.0
205	988.0	802.0	841.0	625.0	622.0
206	934.0	741.0	806.0	606.0	596.0
207	886.0	718.0	764.0	608.0	594.0
208	900.0	745.0	762.0	649.0	605.0
209	880.0	737.0	739.0	634.0	562.0
210	888.0	751.0	751.0	580.0	547.0
211	928.0	789.0	794.0	578.0	571.0
212	919.0	772.0	795.0	578.0	587.0
213	974.0	778.0	840.0	604.0	625.0
214	896.0	699.0	787.0	559.0	588.0
215	949.0	730.0	838.0	583.0	623.0
216	927.0	725.0	847.0	559.0	636.0
217	933.0	761.0	837.0	560.0	683.0
218	891.0	742.0	772.0	535.0	658.0
219	1228.0	992.0	1015.0	714.0	770.0
220	908.0	753.0	785.0	566.0	593.0
221	959.0	790.0	826.0	608.0	618.0
222	903.0	764.0	784.0	586.0	589.0
223	891.0	813.0	776.0	579.0	593.0
224	860.0	867.0	741.0	550.0	593.0
225	893.0	942.0	757.0	558.0	590.0
226	910.0	992.0	765.0	556.0	571.0
227	990.0	1122.0	829.0	602.0	606.0
228	895.0	1109.0	771.0	561.0	562.0
229	939.0	1146.0	814.0	582.0	593.0
230	917.0	970.0	803.0	570.0	598.0
231	890.0	782.0	776.0	567.0	610.0
232	906.0	738.0	774.0	587.0	621.0
233	906.0	734.0	769.0	607.0	590.0
234	863.0	705.0	731.0	623.0	547.0
235	902.0	741.0	769.0	701.0	564.0
236	885.0	743.0	766.0	741.0	569.0
237	902.0	761.0	782.0	787.0	586.0
238	950.0	787.0	818.0	876.0	614.0
239	935.0	750.0	800.0	931.0	608.0
240	919.0	719.0	790.0	933.0	595.0
241	961.0	717.0	828.0	786.0	595.0
242	1021.0	719.0	898.0	604.0	612.0
243	1077.0	735.0	979.0	547.0	672.0
244	1152.0	758.0	1055.0	561.0	763.0
245	1182.0	727.0	1096.0	552.0	793.0
246	1259.0	737.0	1204.0	568.0	842.0
247	1246.0	720.0	1231.0	566.0	905.0
248	1142.0	753.0	1193.0	593.0	1000.0
249	950.0	750.0	926.0	576.0	997.0
250	897.0	763.0	782.0	551.0	829.0
251	891.0	785.0	750.0	548.0	640.0
252	910.0	813.0	766.0	557.0	576.0
253	902.0	798.0	769.0	548.0	557.0
254	975.0	804.0	828.0	577.0	596.0
255	933.0	741.0	805.0	555.0	589.0
256	987.0	784.0	854.0	590.0	641.0
257	865.0	710.0	753.0	533.0	592.0
258	888.0	743.0	751.0	551.0	595.0
259	897.0	767.0	754.0	566.0	573.0
260	875.0	770.0	741.0	570.0	555.0
261	912.0	789.0	769.0	596.0	570.0
262	956.0	794.0	803.0	629.0	590.0
263	901.0	745.0	763.0	625.0	567.0
264	942.0	793.0	798.0	656.0	599.0
265	914.0	781.0	771.0	597.0	577.0
266	893.0	763.0	757.0	547.0	558.0
267	977.0	809.0	830.0	580.0	603.0
268	971.0	800.0	834.0	586.0	612.0
269	975.0	790.0	840.0	592.0	621.0
270	976.0	767.0	853.0	597.0	620.0
271	967.0	747.0	863.0	610.0	634.0
272	964.0	771.0	863.0	627.0	680.0
273	889.0	740.0	771.0	572.0	654.0
274	1092.0	904.0	909.0	663.0	710.0
275	918.0	775.0	774.0	582.0	585.0
276	931.0	783.0	791.0	606.0	583.0
277	902.0	750.0	776.0	588.0	568.0
278	1018.0	823.0	872.0	623.0	628.0
